alias_name,target_canonical_name,comment
白饭,白米饭,常见俗称
熟米饭,白米饭,明确熟制状态
大米饭,白米饭,常见俗称
蒸米饭,白米饭,明确烹饪状态
煮玉米,玉米(熟),历史事故修复后的安全目标
水煮玉米,玉米(熟),明确烹饪状态
蒸玉米,玉米(熟),明确烹饪状态
玉米棒,玉米(熟),常见俗称
玉米棒子,玉米(熟),常见俗称
苞米,玉米(熟),地区叫法
苞米棒,玉米(熟),地区叫法
熟苞米,玉米(熟),地区叫法与熟制状态
水煮苞米,玉米(熟),地区叫法与烹饪状态
整鸡蛋,鸡蛋,常见口语
普通鸡蛋,鸡蛋,常见口语
鲜鸡蛋,鸡蛋,常见食材状态
鸡卵,鸡蛋,书面/地区叫法
蛋,鸡蛋,常见简称
去皮鸡胸肉,禽肉（去皮鸡胸肉）,明确部位
水煮鸡胸,禽肉（去皮鸡胸肉）,常见健身口语
纯牛奶,牛奶(全脂),常见商品/口语名
普通牛奶,牛奶(全脂),常见口语
鲜奶,牛奶(全脂),常见简称
西蓝花,西兰花,常见异写
青花菜,西兰花,常见别名
绿花菜,西兰花,常见别名
西兰花菜,西兰花,用户口语输入
香蕉肉,香蕉,可食部口语
香蕉果肉,香蕉,可食部口语
红苹果,苹果,常见品类泛化
新鲜苹果,苹果,常见口语
燕麦,燕麦片,常见简称
即食燕麦,燕麦片,常见商品/口语名
原味燕麦片,燕麦片,明确无调味口径
纯燕麦片,燕麦片,明确无调味口径
熟红薯,红薯,明确熟制状态
烤红薯,红薯,常见烹饪状态
蒸红薯,红薯,常见烹饪状态
水煮红薯,红薯,常见烹饪状态
熟白饭,白米饭,明确熟制状态
蒸白饭,白米饭,明确烹饪状态
玉米穗,玉米(熟),常见俗称
煮苞米,玉米(熟),地区叫法与烹饪状态
蒸苞米,玉米(熟),地区叫法与烹饪状态
去皮熟鸡胸,禽肉（去皮鸡胸肉）,明确部位与熟制状态
熟鸡胸,禽肉（去皮鸡胸肉）,明确部位与熟制状态
全脂纯牛奶,牛奶(全脂),明确脂肪口径
普通纯牛奶,牛奶(全脂),常见口语
纯鲜奶,牛奶(全脂),常见简称
西蓝花菜,西兰花,常见异写
绿菜花,西兰花,常见别名
去皮香蕉,香蕉,可食部口语
普通香蕉,香蕉,常见口语
苹果去皮,苹果,可食部口语
普通苹果,苹果,常见口语
原味燕麦,燕麦片,明确无调味口径
纯燕麦,燕麦片,明确无调味口径
红薯熟,红薯,明确熟制状态
熟番薯,红薯,地区叫法与熟制状态
熟地瓜,红薯,地区叫法与熟制状态
